,Review,Brand,Total Rating,Look Rating,Smell Rating,Taste Rating,Feel Rating,Overall Rating
11,"Goose Island Bourbon County Stout', '\nLive review. Poured from the 1 pint, 0.9 ounce bottle that I found at a cool bottle shop in Mentor, Ohio about 18 months ago for, if I recall correctly, about $15. 2019 indicated on the neck label. Drink by: 25 AUG 24 08:33 14.7% ALC/VOL printed on the lower part of the label on the body of the bottle.', '\nA: The look does not disappoint. The darkest body with a brief dark brown head which lasts about 10 seconds and I poured generously into a clean, clear snifter. Love this look, even if much of it is to style. 4.5', '\nS: Dark fruits predominate without too much “heat” of alcohol which I expected somewhat due to the high ABV. I certainly pick up some deep, sweet bourbon notes but the dark fruits are front and center. Intriguing and I give it “extra credit” for not being too “hot.” 4.5', '\nT: Wow. So much going on here. Early taste is a LOT of dark fruits, heat of alcohol bourbon notes dancing on my tongue and then dissipating into a long, slow, alcohol slide out to an amazing finish of smooth dark roast malt but that process takes about 2 minutes. 4.5', '\nM: Mouthfeel is surprisingly thin for the style and the beer’s reputation. Mind you, this is NOT a thin beer, just that I had expected one of the fullest, thickest beers but it is not. 3.5', '\nD: Drinkability/Overall: Overall a fantastic beer, one that everyone reading this should seek out. Drinkability is limited by your budget and your sobriety but this is a “night capper” kind of beer. Only a fool would drink several of these in one evening. Intention, in my opinion, is to enjoy one of these in an evening, and frankly share it with someone else. 4.0",Bourbon County Brand Stout ,4.3,4.5,4.5,4.5,3.5,4.0
12,"The grandaddy. I\'ve had the 2012 variant most recently on a trip to Chicago. Held up surprisingly well. Still have a 2013 bottle hanging on in the cellar that I can\'t wait to open. Even ""bad"" variants of the original are so solid, reliable and respectable. Excellent experience every time. Very much looking forward to the 2022 lineup and the 2019 > 2022 vertical I plan on doing at New Year\'s.",Bourbon County Brand Stout ,4.62,4.75,4.5,4.75,4.5,4.5
13,"2019 vintage:', '\n', '\nPoured from a 16.9 ounce bottle into a snifter.', '\n', '\nLook- Black, medium brown frothy head, visible particulate near the outside of the glass, average head retention and lacing.', '\n', '\nSmell- Coffee, bourbon, chocolate, toffee.', '\n', '\nTaste- Toffee, bourbon, coffee, vanilla, chocolate, semi sweet.', '\n', '\nFeel- Full body, slightly below average carbonation, mouth coating, mouth warming, smooth, creamy.', '\n', '\nOverall- Vibrant and well balanced flavors with a full body that coats and warms the mouth. This provided a brilliant drinking experience.",Bourbon County Brand Stout ,4.7,4.5,4.5,4.75,5.0,4.75
14,I drank the 2017 bottling yesterday. It was amazing! The 5 years of aging smoothed out the taste perfectly.,Bourbon County Brand Stout ,4.9,5.0,5.0,5.0,4.5,4.75
15,"""Very first time that I've ever had something like this. The bottle I have is from the 2019 stock."", '\n', '\nPoured into a chalice-like glass. Color is a very dark blackish and brown mix. Thick and syrup-like with a noticeable alcohol aroma.', '\n', '\nSmell is excellent and to me consists of chocolate, plum, coffee, caramel, vanilla, and of course, Bourbon. ', '\n', '\nThe 14.7 ABV brings a nice, warm taste to the experience and I look forward to my next bottle.', '\n', '\nOh yeah, enjoy it with your friends or the family members and they will thank you for the chance to taste a great stout. I highly recommend this to everyone.",Bourbon County Brand Stout ,4.92,4.5,5.0,5.0,4.5,5.0
16,Bought a flight of years from craft cellar. Astounding!,Bourbon County Brand Stout ,4.82,5.0,4.75,4.75,4.75,5.0
17,This is a great beer and dont let anyone tell you otherwise. At 14.6% its very smooth and makes for a great special occasion beer. The only even slightly negative thing i could say about it is that it may be a slight bit too thick to drink at any time. If i was full i dont know that id enjoy one. In my opinion this beer is so good that i think people are now talking bad about it just to go against the grain and feel like they better than everyone else who likes it.,Bourbon County Brand Stout ,4.95,5.0,5.0,5.0,4.5,5.0
18,"Not much of a head. Very rich on the nose; bourbon, figs, cola, milk chocolate, and a hint of vanilla. Taste is heavy on the bourbon, with figs, honey, and chocolate, followed by roasted malt and coffee. Hints of vanilla and oak come and go. The bourbon really dominates, more than just about any other BA stout I’ve had. Feel is a bit oily, and the alcohol warmth approaches that of a wine. ', '\nI understand why it’s a classic. This beer has some kick, but does so without becoming cloying or unbalanced. Not my favorite, but great nonetheless.",Bourbon County Brand Stout ,4.38,4.25,4.25,4.5,4.0,4.5
19,"""It's obviously a good stout, but it's just too much for me. Very syrupy, very sweet. You get vivid notes of chocolate and bourbon and toffee yet none of it is enjoyable. It simply has none of what I look for in a beer, or even a stout.""",Bourbon County Brand Stout ,2.22,4.5,3.0,1.5,2.25,2.0
20,"Awesome beer in every way. A true favorite. ', '\n', '\nL: Dark! Dark and thick as motor oil. Even the short head is caramel in color. It is beautiful! ', '\nS: Nice aroma akin to the bourbon barrels in which it was aged. The mixture of malty stout and bourbon is heavenly. ', ""\nT: This isn't an overly complex stout, and it delivers very well on what it promises. Malt, bourbon, and stout. This isn't too say that nothing else is going on. There are underlying flavors that play well together, and the concert of all the flavors together are well-balanced."", '\nF: Thick and smooth! Matches the look beautifully.', '\nO: I love this beer. I scored it shy of perfect because I want there to be even more of everything I described. But maybe leaving me wanting more is what makes this beer so amazing.",Bourbon County Brand Stout ,4.69,4.75,4.5,4.75,4.75,4.75
21,"Exceptional.', '\n', '\nHave had a few bottles, different vintages. Does not disappoint. Definitely a top beer for any special occasion. ', '\n', '\nThe pour was ordinary, no great head.', '\nNice aroma.', '\nDelicious to drink. Truly outstanding. Flavors come through, but not too much. Smooth and silky. It is on the sweet side, but not quite overbearing, which makes it stand out.', '\n', '\nABV truly hidden. ', '\n', '\nWorld Class.",Bourbon County Brand Stout ,4.8,4.5,4.5,5.0,5.0,4.75
22,"L - 2021 vintage. Shared half of a 16.9 oz bottle poured into a snifter. Pours opaque black with a 1 finger light tan head. Has significant lacing as well as alcohol legs from the 14% high ABV.', '\n', '\nS - Sweet up front. Vanilla. Cola and chocolate. Alcohol. Dark fruit. Raisin or cherry. Some bread scents in the back.', '\n', '\nT - Sweet taste as follows scent. Lots of dark fruit (prune, date, raisin) up front. Almost the taste of a port wine. Caramel and vanilla in there. A slight wood or oak. Chocolate notes as well. Love the complexity of each taste providing a little bit different each time. Not boozy even after is warms up some further along like other high ABV beers.', '\n', '\nF - Really good medium body mouthfeel. Lower carbonation from and aged Beer. Very smooth and drinkable at high ABV', '\n', '\nO - This is a great beer. I know there are a lot of ""flavors"" in this line now, but I tried the base beer of the 2021 batch, and it was World-Class. Well worth picking up and adding to the annual rotation.",Bourbon County Brand Stout ,4.63,4.5,4.5,4.75,4.75,4.5
23,"2019 vintage, fantastic expression of the style. Smooth, nice punch of vanilla, with a cacao nibs forward finish.",Bourbon County Brand Stout ,4.84,4.5,4.75,5.0,4.75,4.75
24,"""Delicious stout filled with oak influenced flavors. The one had the pleasure of consuming was from 2015, and the bourbon flavors have softened a little, doesn't seem as forward with the alcohol, just well married into the vanilla and oak flavors. Very soft mouthfeel.""",Bourbon County Brand Stout ,4.36,4.5,4.0,4.5,4.25,4.5
25,"This is my first review on BeerAdvocate!', '\n', '\nPouring this from a 16.9 oz bottle, the pour produces a nice finger or so of tan head that dissipates after a few minutes. A bit of lace is left around the edge, with light head left bubbling in the middle. Overall a very dark, nearly black pour gives off a strong boozy scent not uncommon in barrel-aged stouts. The aroma is also quite sweet, which for me is always a good sign of a stout with a good body and careful construction. So far, so good.', '\n', ""\nThe first taste is very, very heavy on the tongue. This is an Imperial Stout with a lot going on. It sticks to the inside of your mouth like a stout should and has a sweet-hot initial hit, likely thanks to the very high ABV of 14%. There is a certain candy flavor up front that I am not a huge fan of, but it doesn't stay around for long. Afterward the taste dissolves into almost a cola-like flavor that lingers for a long time. It feels like there are a ton of flavors, including coffee and dried fruit that almost overwhelm anything else. "", '\n', ""\nThis is a fine beer. It isn't my favorite stout of all time, but it is an American Imperial Stout, and is amongst the most well-crafted I have ever had. I can see this being someone's go-too Stout when it's in season, but the flavor profile is just a little too sweet for me. "", '\n', '\nStill, very good.",Bourbon County Brand Stout ,4.32,4.75,4.5,4.0,4.5,4.5
26,"Born 25 July, 2017. 12.9% ABV.', '\nTop popped (53 degrees) with a whimpering sigh, got a nice coffee aroma right away. Almost zero head at all made for a full pour into my 12oz Avery Brewing snifter.', '\nBourbon and espresso coffee share the nose space. ', '\nThe first taste matches the nose. Chewing on it a little reveals notes of fine cacao, bit of vanilla, faint oak barrel, a dark fruit I can’t quite put a finger on and a welcoming heat. ', '\nMouthfeel is decadant! Little bit of carbonation lightened the usual BCBS heaviness. ', '\nNot overly syrupy too! Yay!', '\nOverall - a remarkably smooth and excellent treat that stood up to 5 years of temperature controlled storage. ', '\nDamn fine Stout!",Bourbon County Brand Coffee Stout ,4.64,4.25,4.5,4.75,4.5,4.75
27,"12 oz bottle, born on 11/7/2014, poured into a snifter at 55 degrees F:', '\nL - dark and silky with no head', '\nS - dry coffee and roasted malt', '\nT - bourbon blending perfectly with coffee and roasted malt with a bit of chocolate', '\nF - thick mouthfeel and no carbonation at all', '\nO - outstanding beer, even at almost 8 years old!",Bourbon County Brand Coffee Stout ,5.0,5.0,5.0,5.0,5.0,5.0
28,"2014 Vintage', '\n', '\nAppearance: Black with a small, dark, beige head that quickly faded. Age probably took a big hit on the head size.', '\n', '\nSmell: Fairly prominent bourbon aromas and moderate coffee aromas. Not bad, but again age is a factor here as well as the appearance.', '\n', ""\nTaste: Bourbon notes, prominent coffee notes, mild brown sugar notes, and mild tannic oak notes. The coffee comes off a touch bitter but considering the age of the beer it's not bad and provides a nice counter to the bourbon notes."", '\n', '\nMouth-feel: Mediuml-bodied with a fairly low level of carbonation. Not a bad mouthfeel but age is a factor.', '\n', ""\nOverall: While the beer wasn't bad, I get the feeling I'm only getting a glimpse of how good the beer was fresh. hopefully it's rebrewed and I can get my hands on a fresh one.""",Bourbon County Brand Coffee Stout ,4.09,3.75,4.0,4.25,4.0,4.0
29,"Goose Island – Bourbon County Brand Coffee Stout (BCBCS – 2014) ', '\n', '\n12.6% ABV ', '\n', '\nThe beer is listed as “Stout – American Imperial” on BA. ', '\n', '\nThe beer was removed from a 40ish degree temp fridge after having been refrigerated for approximately 2 years. Beer poured into 2012 BCBS snifter. ', '\n', '\nFirst Impression: Pours dark, thinner than BCBS. 4.5 ', '\n', '\nAppearance: Standard Bourbon County. An aggressive pour years only a small amount of khaki head that fades quickly, leaving only a small ring around the glass. 4.25', '\n', '\nSmell: Coffee up front. Mostly this cold-brew smelling with a hint of grounds and also the dread ‘pepper’. Weak barrel on the nose. 4.25', '\n', '\nTaste: 2014 and earlier BCBCS is what all coffee stouts should be judged on for me. As the kids say, ‘it fucks’. And after this many years, to still say that? Come on. Taste starts with the coffee, shifts to bourbon, pulls in some chocolate fudge brownies, shifts back to bourbon, finishes on coffee, and then a slow finish lasts for longer than most BA stouts, let alone BA coffee stouts. Impressive for 12.5% abv. 4.70', '\n', '\nMouthfeel: Coffee stouts are always thinner than their regular counterparts. They just are. While this is clearly thinner than the regular, not appreciably so. For judging this against other coffee stouts, this is still upper echelon. 4.75', '\n', '\nOverall: This is a great beer, and I’m jamming on this. I debated about whether to have this tonight, because I have to get up in 4.5 hours to hit the BCBS release. Well, I’m glad I did, but only because I chose to drink this tonight. It’s really fantastic. It’s incredible how well this has held up. I did have this a few years back (just once), and while it was great, I don’t remember enjoying it quite this much. This is just singing tonight. It’s everything that I want. And the finish just keeps going. I’m in heaven. All this said – could it be better? Of course. I’d love to have even more barrel. I’d love to see how this shined at 15%. But for what it is, and compared to others, this is Heaven. 4.65', '\n', '\nBA Review Score: 4.56",Bourbon County Brand Coffee Stout ,4.6,4.25,4.25,4.75,4.75,4.75
30,"Bottled 7/25/17, cracking this open just over 4 years later', '\n', ""\nOh boy, we have quite the whale here. From what I've heard, the coffee BCBS is one of the most sought after variants, and 2017 is unfortunately the last vintage. I never really expected to see it on a shelf anywhere. However, when visiting DC this past weekend, I decided to pop in a liquor store to search for some of the Dogfish Head spirits, since we don't get those up here in Mass. Well, I found their whiskey and was happy, but decided to check out the beer selection. This one was staring at me and I immediately snatched it without looking at the price tag. Worth it? Let's find out"", '\n', '\nPours a velvety black with a finger of dark tan head that quickly fades to a thin ring and leaves minimal lacing but very strong legs', '\n', ""\nThis is wonderfully balanced between roasty and sweet in the nose, like a decadent coffee drink mixed to perfection. I'm picking up on aromas of chewy caramel, lightly acidic coffee, chocolate covered espresso beans, vanilla creme, ripe fig, smooth oak, and just the slightest hint of sweet blueberry"", '\n', ""\nThe fact that this has such a strong coffee presence after 4 years is very impressive. Many of these beers tend to fall off in flavor pretty quick, but it is beautifully preserved here, despite not being full force. On the front end of the sip I'm tasting creamy vanilla, lightly spicy bourbon, milk chocolate, medium acidic coffee, and light grape. The swallow brings notes of decadent milk chocolate, oily espresso beans, burnt toast, a touch of that vegetal green pepper character others have complained about in older bottles, and earthy oaked bourbon on the aftertaste"", '\n', '\nA medium full body pairs with gentle tingling carbonation, resulting in a thick and viscous beer. Finishes mostly dry from the bourbon heat', '\n', ""\nThis beer is awesome! It doesn't quite crack my top 10 though I suspect it might if fresher. Regardless, I'm very happy to have tried this one, and here's to hoping they bring it back next year!""",Bourbon County Brand Coffee Stout ,4.53,4.0,4.75,4.5,4.5,4.5
31,My favorite coffee beer,Bourbon County Brand Coffee Stout ,4.65,4.75,4.0,5.0,4.0,5.0
32,"2017 Vintage ', '\n', '\nL: Deep black with a slight twinge of brown', '\n', '\nA: The winner in my opinion. Bakers chocolate and coffee all the way.', '\n', '\nT: Do not drink this beer cold, severely underwhelming. Once it warms there is a strong chocolate syrupy goodness up front followed by a slight sweetened Cuban coffee. While I assume the coffee has dropped off some, still provides a strong aftertaste which makes it more enjoyable. ', '\n', '\nM: It’s bourbon county. Always proper almost syrup like.', '\n', '\nO: While a damn good beer, I think the hype train has won with the coffee BCBS. I have not had a lot of them, but I prefer the regular. Maybe I’m in the minority here. Still great though.",Bourbon County Brand Coffee Stout ,4.66,4.75,5.0,4.5,4.75,4.5
33,"2014 vintage poured into a pint glass.', '\n', '\nAppearance: Pours impenetrable dark brown with no head at all, leaving a slight sediment behind in the bottle. ', '\n', '\nSmell: Very rich coffee and bourbon, a bit of chocolate. No green pepper.', '\n', '\nTaste: Phenomenally smooth and deep. Starts with bourbon, shifts to dark, acidic coffee grinds, finishes with a delightful burnt bread roast. My only demerit is that I find the bourbon ever so slightly too dominant on some finishes.', '\n', '\nFeel: Full-bodied but not too heavy, with light carbonation. Bit of alcohol on the finish, but not too much.', '\n', ""\nOverall: It's a huge beer, really well put-together. It's a bourbon-lover's coffee stout, with a very prominent bourbon character that somehow still doesn't mask the big coffee base.""",Bourbon County Brand Coffee Stout ,4.56,4.5,4.75,4.5,4.5,4.5
34,"2013 Vintage - Los Inmortales Coffee ', '\n', '\n335ml bottle - lightly chilled, poured into a snifter.', '\n', '\nAppearance: Pours a coal-black hue - slightly thin, with a deep reddish-mahogany ring around the top edge. Zero head, zero foam, zero collar. Just sits like liquorice-coloured liquid in the glass. Lifeless.', '\n', ""\nNose: Surpriseingly, the coffee is still here - and quite strong. The coffee is deep, dark, roasty and pungent, with an almost stale quality to it - like a gas station coffee maker that hasn't been emptied or cleaned in a day. It almost smells sticky and concentrated, very much like Kaluha. Zero green pepper. There's some deep roast beneath the coffee, along with a bit of an ashen/smoky note. Some tangy dark fruit peeks through, as well as some bourbon, and if you really dig deep, some vanilla, oak, and baker's chocolate emerge. Not much warmth. Coffee dominates."", '\n', ""\nPalate: This 7 year old stout greets the palate fairly sweet, with some rich chocolate fudge, brownie batter, vanilla, bourbon, and oak, before an intense coffee presence explodes and takes the lead. It's a miracle there's still so much coffee in here. The coffee is sweet, black, roasty, with some fresh whole bean notes. Saturated, almost like coffee liqueur, and then finally showing some of that stale back coffee character. A whisper of tangy dark fruit pokes out, before some coffee bean bitterness begins to show, quickly compounded by blackened malt bitterness, drying this out very quickly and fully. Some more subtle bourbon, followed by some less subtle barrel reappear, and the finish approaches, bringing sticky black coffee, roasty beans, bitter malt roast, pure cacao, charred malt, and spicy charred oak. No lingering sweetness."", '\n', ""\nMouthfeel/Body: Admittedly, I expected this to be thin, given its age, but surprisingly, it's actually packing some nice heft when chilled. It isn't luscious or chewy, but before it warms, it does have some nice viscosity, though it does thin out as it warms. Effervescence is extremely low - not still, and there is some subtle fuzz in there, but like a cup of soda the morning after you poured it. Quite sticky around the lips, but almost fully dries out in the finish with all that roast."", '\n', ""\nOverall: This is a difficult one to rate. Is it fair to formally review and rate a 7 year old coffee stout that I've never had? It may actually not be. I'll never know how this was when fresh, but even now, I'd say this is a perfectly respectable barrel-aged coffee stout. Strong coffee presence, no green pepper notes, essentially no oxidation, and maybe just a hint of staleness to the coffee. The bourbon and barrel are subdued, and the effervescence is lacking, but as-is, this is still a great coffee stout. The fact that it has held up so well is definitely a testimony to the early-mid BCBS era. Smoke 'em if you got 'em. This is the most you could ask for in a 7 year old coffee stout. I have to wonder if the 2013 was particularly coffee-forward, because apparently less ancient bottles have already lost their beans. Certainly not the case here, but I wouldn't hold onto one any longer than this. Gracefully aged.""",Bourbon County Brand Coffee Stout ,4.21,4.0,4.25,4.25,4.0,4.25
35,"Tasty, what you would expect imo.",Bourbon County Brand Coffee Stout ,5.0,5.0,5.0,5.0,5.0,5.0
36,"2016 vintage courtesy of jeffreed61. (~4 yrs old). ', '\nL: black with mocha head that fizzles off. ', '\nS: coffee, chocolate, vanilla, oak, tootsie roll. ', '\nT: resiny oaky combo of really good coffee and chocolate/vanilla. Tobacco, earth, cinnamon. Smooth af. Not boozy. ', '\nF: bcbs standard. ', '\nOverall: phenomenal. Was worried the coffee might make it “fall off” but not the case. Deserves high ratings. My favorite variant.",Bourbon County Brand Coffee Stout ,4.77,4.5,5.0,4.75,4.5,4.75
37,"Ok this beer is over Ten Years old and is the Black Cat Expresso version. Was bottled on 03/26/10 - 2208 and It has been cellared in a wine fridge for the whole time at 14 degrees Celcius.', '\n', '\nA - well its damn dark Black oily colour with a dark beige head that dies quickly.', '\nS - Very large aromas of old potted coffee and smoley dark vanilla.', '\nT - Wow. Massive. So up fron some milky latte flavours that pretty soon get drowned out by massive expresso dark coffee. The finish is smokey rolled tobacco before a nice sweet finish ensues that is made up of vanilla and caramel. Its massive !', '\nM - Deep deep body with light to medium carbonation', '\nO - Huge beer that is very bold is every sense. It has aged so very well, the only dissapointment is that it didnt smoothen out more as it packs such a punch. This beer is by no means past its best and will go into my Hall of Fame",Bourbon County Brand Coffee Stout ,4.63,4.5,4.5,4.75,4.75,4.5
38,"Bottled 11/7/14', '\nConsumed 5/1/20', '\n', '\nPurchased from Goose recently, so I assume it was stored properly. It has none of the vegetable taste I have had in some older coffee BCS. This bottle is perfect. A wonderful balance of coffee bitterness and the sweet BCS barrel notes. I love the smell. There’s a lot of coffee here. Drinking it I get a lot of coffee too. I haven’t had a newer bottle in some time, and I know this beer has lost some of its mystique, but in 2014 it was still perfect.",Bourbon County Brand Coffee Stout ,4.91,4.75,5.0,5.0,4.75,4.75
39,A perfect beer?,Breakfast Stout ,5.0,5.0,5.0,5.0,5.0,5.0
40,"I poured a 12oz. bottle into a 20oz. weizen glass and have ended up with two fingers of beautiful, frothy, dark tan foam. It slowly recedes but does not disappear as advertised! Typical stout look, very dark, one could say black. There is very thick lacing left all the way down the glass as I consume this one.', '\nThe aroma is malt first, sweet chocolate, and a little of coffee. ', '\nThe sip offers a bit of sweetness, then it is quickly covered with the roasted coffee bitter bite and a bit dry to the finish.', '\nThere is not an alcohol bite here, but this one is a belly warmer. This is very thick creamy stuff with very light carbonation.', '\nGood stuff, I do not take much time between sips, this one keeps calling me back. Be careful, at 8.3ABV this bowl of oatmeal may sneak up on you!",Breakfast Stout ,4.54,4.75,4.5,4.5,4.75,4.5
41,"Yay!! Finally got a chance to taste this one. ', '\n', '\nPoured a blackish-brown color with a small head that quickly dissipates. The smell was of coffee and chocolate. The taste was of very strong coffee and chocolate, but mostly coffee. Definitely a good morning starter.",Breakfast Stout ,4.5,4.5,4.5,4.5,4.5,4.5
42,"Moderately sized head when poured bottle to glass, dissipates but remains at lower levels for some time, creamy appearance and lots of lacing. Beer itself looks like black coffee, no light may be permitted to pass through. Coffee and chocolate present on nose, coffee more so. Sweet bready characterstics as well. In flavor the coffee is much stronger, almost overpowering but not too extreme. Finishes long and remains on lips. Nice and creamy feel, when swishing, movement of liquid is difficult to perceive, almost envelops the tongue. Pretty nice, wish I liked coffee.",Breakfast Stout ,4.0,4.75,4.0,3.75,4.5,4.0
43,"Look: It pours black with a brown head. Head retention is very good. ', '\n', '\nSmell: The strong smell of coffee and chocolate dominates the aroma.', '\n', '\nTaste: It has a dominant coffee taste with a decent deal of bitterness going down. There are roasted elements as well. ', '\n', '\nFeel: It has a full body and a good amount of bitterness in the finish.', '\n', '\nOverall: This is a great coffee brew.",Breakfast Stout ,4.31,4.75,4.25,4.25,4.5,4.25
44,"Drank early this morning, and wrote this on a napkin. Purchased as a single bottle from The Blue Door for $4.00. Poured into a nonic pint glass.', '\n', '\nL - Motor oil brownish-black, with a fluffy and viscous two-finger khaki head. Lacing is excellent.', '\nS - Reminds me of the coffee from Dynamite Roasting. Bittersweet chocolate. Roasted oat.', '\nT - Matches nose, with a bit more complexity. Definite ethanol presence, but the flavor of it never comes through (a good thing). Super toasty. Bittersweet throughout. More coffee-heavy than chocolate-heavy.', '\nF - Thick. Heavy. Full-bodied, with little carbonation (if any). A sipper.', ""\nO - Probably not the best idea to have this for breakfast. A prime example for an oatmeal stout. Definitely recommend trying this one, but I won't purchase one again (not too into heavy beers).""",Breakfast Stout ,4.49,5.0,4.75,4.5,4.0,4.25
45,"Pours almost black with a thick cream colored head that diminishes with time but never disappears.', '\n', '\nAroma of rich coffee with a hint of dark chocolate.', '\n', '\nThe taste is coffee tempered with a splash of milk and sweetened with dark chocolate just enough to take the edge off on top of a bed of dark roasted grains.', '\n', '\nEvery sip is rich and full.', '\n', ""\nOverall, it's a great coffee stout - one of the best, the benchmark by which other coffee stouts are judged. It hits the perfect coffee / stout balance to highlight the coffee without making it taste like you're drinking black coffee and with a rich, dark stout as the base that holds up nicely to the coffee. Other coffee stouts often have too little coffee flavor, or sometimes too much, but this one nails the balance.""",Breakfast Stout ,4.68,5.0,4.5,4.5,5.0,5.0
46,"""A little bit too sugary and carbonated for my tastes, but a world-class drink nonetheless. It will definitely be my go-to if I'm in the mood for a coffee/oatmeal-style beer.""",Breakfast Stout ,4.68,5.0,5.0,4.5,4.25,4.75
47,My go to oatmeal stout. Simply amazing.,Breakfast Stout ,5.0,5.0,5.0,5.0,5.0,5.0
